rank,file,passed,overall_score,arm_overall_score,arm_imperative_quality,arm_weak_phrase_quality,arm_optionality_quality,arm_continuance_quality,arm_directive_quality,arm_incomplete_quality,arm_ambiguity_quality,completeness_metric,structure_compliance_metric,clarity_metric,weak_phrase_metric,optionality_metric,atomicity_metric,consistency_metric,verifiability_metric,requirement_uniqueness_metric,requirement_id_coverage_metric,readability_metric,requirement_density_metric,ieee_section_coverage,fr_coverage,nfr_coverage,clarity_readability,ambiguity_quality,extraction_cleanliness,content_adequacy,duplication_quality,heading_structure,numeric_specificity,lexical_richness
78,final_extracted_srs_ieee830\final_extracted_srs_ieee830\2_TrashCam.txt,True,1.0,0.982,0.968,0.935,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.996,0.999,1.0,1.0,1.0,0.742,1.0,1.0,1.0,0.25,0.667,0.7,0.59,0.971,0.996,1.0,0.45,0.975,0.8,1.0,1.0
79,final_extracted_srs_ieee830\final_extracted_srs_ieee830\30_ASLi.txt,True,1.0,0.916,0.683,0.976,1.0,1.0,1.0,1.0,0.976,0.667,0.8,0.997,0.996,1.0,1.0,1.0,0.61,1.0,1.0,1.0,0.25,0.667,0.7,0.65,0.992,0.997,1.0,0.65,0.976,0.8,1.0,1.0
80,final_extracted_srs_ieee830\final_extracted_srs_ieee830\31_VoiceGrocery.txt,True,1.0,0.87,0.474,1.0,1.0,1.0,1.0,1.0,0.974,0.667,0.8,0.996,0.996,1.0,0.974,1.0,0.579,1.0,0.947,1.0,0.25,0.667,0.7,0.65,0.991,0.996,1.0,0.45,0.978,0.8,1.0,1.0
81,final_extracted_srs_ieee830\final_extracted_srs_ieee830\32_IlmPath.txt,True,1.0,0.941,0.8,0.96,0.96,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.999,1.0,1.0,1.0,0.86,1.0,0.98,1.0,0.25,0.667,0.7,0.66,0.986,0.997,1.0,0.65,0.979,0.8,0.8,1.0
82,final_extracted_srs_ieee830\final_extracted_srs_ieee830\34_AdInsight.txt,True,1.0,0.924,0.684,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.895,1.0,1.0,1.0,0.25,0.667,0.7,0.66,0.983,1.0,0.977,0.65,0.977,0.8,0.444,1.0
83,final_extracted_srs_ieee830\final_extracted_srs_ieee830\35_SmartTutor.txt,True,1.0,0.807,0.256,0.907,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.994,0.995,1.0,0.977,1.0,0.837,1.0,1.0,1.0,0.25,0.667,0.7,0.72,0.993,0.994,0.989,0.65,0.979,0.8,0.714,1.0
84,final_extracted_srs_ieee830\final_extracted_srs_ieee830\36_LearnScape.txt,True,1.0,0.944,0.781,1.0,0.969,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.938,1.0,0.969,1.0,0.25,0.667,0.7,0.65,0.981,1.0,1.0,0.45,0.975,0.8,1.0,1.0
85,final_extracted_srs_ieee830\final_extracted_srs_ieee830\37_TerraVerse3D.txt,True,1.0,0.893,0.609,0.957,1.0,1.0,1.0,1.0,0.957,0.667,0.8,0.997,0.998,1.0,1.0,1.0,0.826,1.0,0.957,1.0,0.5,0.667,0.8,0.65,0.988,0.997,1.0,0.45,0.971,0.8,0.857,1.0
86,final_extracted_srs_ieee830\final_extracted_srs_ieee830\38_INSIGHTVISION.txt,True,1.0,0.949,0.789,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,0.998,1.0,1.0,1.0,0.737,1.0,1.0,1.0,0.5,0.667,0.7,0.66,0.986,1.0,1.0,0.45,0.966,0.8,0.429,1.0
87,final_extracted_srs_ieee830\final_extracted_srs_ieee830\39_AIMaritimeAwareness.txt,True,1.0,0.903,0.741,0.815,1.0,1.0,1.0,1.0,0.963,0.667,0.8,0.991,0.997,1.0,1.0,1.0,0.778,1.0,0.963,1.0,0.5,0.667,0.8,0.79,0.978,0.991,1.0,0.45,0.973,0.8,0.833,1.0
88,final_extracted_srs_ieee830\final_extracted_srs_ieee830\3_3D_AutoMod.txt,True,1.0,0.921,0.97,0.576,0.97,1.0,1.0,1.0,1.0,0.667,0.8,0.994,1.0,1.0,1.0,1.0,0.818,1.0,1.0,1.0,0.25,0.667,0.7,0.66,0.981,0.994,1.0,0.45,0.974,0.8,1.0,1.0
89,final_extracted_srs_ieee830\final_extracted_srs_ieee830\40_EDBot.txt,True,1.0,0.959,0.889,0.933,1.0,1.0,1.0,1.0,0.978,0.667,0.8,0.996,0.996,1.0,1.0,1.0,0.889,1.0,1.0,1.0,0.25,0.667,0.7,0.58,0.993,0.996,1.0,0.65,0.978,0.8,0.667,1.0
90,final_extracted_srs_ieee830\final_extracted_srs_ieee830\41_NutriGen.txt,True,1.0,0.992,0.968,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.995,1.0,0.871,1.0,1.0,0.935,1.0,0.968,1.0,0.5,0.667,0.8,0.46,0.98,0.995,1.0,0.65,0.975,0.8,1.0,1.0
91,final_extracted_srs_ieee830\final_extracted_srs_ieee830\42_SRX.txt,True,1.0,0.924,0.75,0.9,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.995,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.667,0.7,0.72,0.988,0.997,1.0,0.45,0.97,0.8,1.0,1.0
92,final_extracted_srs_ieee830\final_extracted_srs_ieee830\43_virtual3dtour.txt,True,1.0,0.951,0.794,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,1.0,1.0,1.0,1.0,0.853,1.0,1.0,1.0,0.25,0.667,0.7,0.59,0.991,0.999,1.0,0.65,0.975,0.8,0.6,1.0
93,final_extracted_srs_ieee830\final_extracted_srs_ieee830\44_MalwareXplore.txt,True,1.0,0.898,0.654,0.885,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.994,0.994,1.0,1.0,1.0,0.538,1.0,0.962,1.0,0.5,0.667,0.8,0.65,0.989,0.994,1.0,0.45,0.971,0.8,0.8,1.0
94,final_extracted_srs_ieee830\final_extracted_srs_ieee830\45_BlockChainLMS.txt,True,1.0,0.875,0.5,0.969,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.996,1.0,1.0,1.0,1.0,0.906,1.0,1.0,1.0,0.25,0.667,0.7,0.79,0.981,0.996,0.963,0.65,0.975,0.8,0.6,1.0
95,final_extracted_srs_ieee830\final_extracted_srs_ieee830\47_CaseLink.txt,True,1.0,0.898,0.577,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.731,1.0,0.962,1.0,0.5,0.667,0.7,0.59,0.989,1.0,1.0,0.45,0.971,0.8,1.0,1.0
96,final_extracted_srs_ieee830\final_extracted_srs_ieee830\49_BidBot.txt,True,1.0,0.953,0.81,0.99,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,1.0,1.0,1.0,0.833,0.867,1.0,1.0,1.0,0.25,0.667,0.7,0.79,0.993,0.999,1.0,0.85,0.986,0.8,0.8,1.0
97,final_extracted_srs_ieee830\final_extracted_srs_ieee830\4_RouteRover.txt,True,1.0,0.941,0.789,0.947,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.998,1.0,1.0,1.0,0.842,1.0,0.895,1.0,0.5,0.667,0.7,0.65,0.956,0.998,1.0,0.45,0.965,0.8,1.0,1.0
98,final_extracted_srs_ieee830\final_extracted_srs_ieee830\50_Fabricae.txt,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,0.993,1.0,1.0,1.0,0.971,0.995,1.0,1.0,0.5,0.667,0.7,0.59,0.972,1.0,1.0,0.65,0.974,0.8,1.0,1.0
99,final_extracted_srs_ieee830\final_extracted_srs_ieee830\51_HealthMate.txt,True,1.0,0.858,0.42,1.0,1.0,1.0,1.0,1.0,0.98,0.667,0.8,0.999,0.999,1.0,1.0,1.0,0.78,1.0,0.98,1.0,0.25,0.667,0.7,0.65,0.979,0.999,0.99,0.65,0.98,0.8,0.667,1.0
100,final_extracted_srs_ieee830\final_extracted_srs_ieee830\52_SkillSpark.txt,True,1.0,0.983,0.97,0.97,1.0,1.0,1.0,1.0,0.97,0.667,0.8,0.997,0.999,1.0,1.0,1.0,0.818,1.0,1.0,1.0,0.25,0.667,0.7,0.65,0.971,0.997,0.986,0.65,0.973,0.8,1.0,1.0
101,final_extracted_srs_ieee830\final_extracted_srs_ieee830\53_FireCar.txt,True,1.0,0.897,0.571,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,0.952,1.0,0.667,1.0,1.0,1.0,0.5,0.667,0.7,0.59,0.96,1.0,0.984,0.45,0.967,0.8,0.75,1.0
102,final_extracted_srs_ieee830\final_extracted_srs_ieee830\54_SignsEye.txt,True,1.0,0.853,0.405,1.0,1.0,1.0,1.0,1.0,0.973,0.667,0.8,0.999,1.0,1.0,1.0,1.0,0.649,1.0,1.0,1.0,0.25,0.667,0.7,0.66,0.974,0.999,1.0,0.65,0.976,0.8,0.667,1.0
103,final_extracted_srs_ieee830\final_extracted_srs_ieee830\55_AiUML.txt,True,1.0,0.918,0.717,0.913,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.993,0.996,1.0,1.0,1.0,0.891,0.997,1.0,1.0,0.25,0.667,0.8,0.59,0.993,0.993,0.99,0.65,0.979,0.8,1.0,1.0
104,final_extracted_srs_ieee830\final_extracted_srs_ieee830\56_ScholarWatch.txt,True,1.0,0.89,0.571,1.0,1.0,1.0,1.0,1.0,0.952,0.667,0.8,0.998,1.0,1.0,1.0,1.0,0.905,1.0,1.0,1.0,0.5,0.667,0.7,0.46,0.973,0.998,1.0,0.45,0.968,0.8,0.5,1.0
105,final_extracted_srs_ieee830\final_extracted_srs_ieee830\57_ArenaX.txt,True,1.0,0.925,0.725,0.961,1.0,1.0,1.0,1.0,0.98,0.667,0.8,0.997,0.996,1.0,1.0,1.0,0.843,0.995,1.0,1.0,0.25,0.667,0.7,0.79,0.993,0.997,0.99,0.65,0.98,0.8,1.0,0.955
106,final_extracted_srs_ieee830\final_extracted_srs_ieee830\58_SkillBazaar.txt,True,1.0,0.775,0.114,0.971,0.971,1.0,1.0,1.0,0.971,0.667,0.8,0.997,1.0,1.0,1.0,1.0,0.857,0.998,1.0,1.0,0.25,0.667,0.7,0.59,0.973,0.997,0.988,0.45,0.976,0.8,1.0,1.0
107,final_extracted_srs_ieee830\final_extracted_srs_ieee830\59_Modelosaurus.txt,True,1.0,0.951,0.809,0.979,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,0.999,1.0,1.0,1.0,0.809,0.997,1.0,1.0,0.25,0.667,0.7,0.47,0.979,0.999,1.0,0.65,0.98,0.8,0.5,1.0
108,final_extracted_srs_ieee830\final_extracted_srs_ieee830\5_NoduleNet.txt,True,1.0,0.989,0.955,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,1.0,1.0,1.0,1.0,0.818,1.0,0.955,1.0,0.5,0.667,0.7,0.52,0.974,0.997,1.0,0.45,0.97,0.8,1.0,1.0
109,final_extracted_srs_ieee830\final_extracted_srs_ieee830\60_DigiTransacFraudDetect.txt,True,1.0,0.861,0.444,0.963,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.994,1.0,1.0,1.0,0.852,1.0,1.0,1.0,0.5,0.667,0.7,0.72,0.967,0.997,1.0,0.45,0.971,0.8,0.857,1.0
110,final_extracted_srs_ieee830\final_extracted_srs_ieee830\62_DermaScan.txt,True,1.0,0.907,0.64,0.96,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.998,1.0,0.92,1.0,0.88,1.0,0.96,1.0,0.5,0.667,0.7,0.72,0.977,0.998,1.0,0.45,0.97,0.8,0.8,1.0
111,final_extracted_srs_ieee830\final_extracted_srs_ieee830\63_Mal-Assf.txt,True,1.0,0.848,0.4,1.0,1.0,1.0,1.0,1.0,0.95,0.667,0.8,0.998,0.998,1.0,1.0,1.0,0.65,1.0,1.0,1.0,0.5,0.667,0.7,0.59,0.987,0.998,1.0,0.45,0.969,0.8,0.75,1.0
112,final_extracted_srs_ieee830\final_extracted_srs_ieee830\64_DataKaleidos.txt,True,1.0,0.9,0.614,1.0,1.0,1.0,1.0,1.0,0.955,0.667,0.8,0.997,0.996,1.0,0.977,1.0,0.841,1.0,1.0,1.0,0.25,0.667,0.7,0.72,0.978,0.997,0.989,0.65,0.979,0.8,0.857,1.0
113,final_extracted_srs_ieee830\final_extracted_srs_ieee830\65_CommuneX.txt,True,1.0,0.941,0.776,0.983,0.991,1.0,1.0,1.0,0.991,0.667,0.8,0.997,0.999,0.991,0.966,1.0,0.862,0.999,1.0,1.0,0.25,0.667,0.7,0.72,0.994,0.997,1.0,0.85,0.988,0.8,1.0,0.973
114,final_extracted_srs_ieee830\final_extracted_srs_ieee830\66_Syntra.txt,True,1.0,0.902,0.591,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,1.0,1.0,1.0,1.0,0.864,1.0,1.0,1.0,0.25,0.667,0.7,0.72,0.993,0.999,0.989,0.65,0.979,0.8,0.833,1.0
115,final_extracted_srs_ieee830\final_extracted_srs_ieee830\67_FontFusion.txt,True,1.0,0.991,1.0,0.944,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.995,0.993,1.0,1.0,1.0,0.778,1.0,1.0,1.0,0.75,0.667,0.7,0.39,0.989,0.995,0.984,0.45,0.967,0.8,1.0,1.0
116,final_extracted_srs_ieee830\final_extracted_srs_ieee830\68_SentinelAI.txt,True,1.0,0.992,1.0,1.0,0.938,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.667,0.7,0.65,1.0,1.0,1.0,0.45,0.963,0.8,0.8,1.0
117,final_extracted_srs_ieee830\final_extracted_srs_ieee830\6_FearLESS.txt,True,1.0,0.974,0.977,0.907,0.953,1.0,1.0,1.0,1.0,0.667,0.8,0.994,1.0,1.0,1.0,0.833,0.837,0.976,0.977,1.0,0.25,0.667,0.7,0.4,0.985,0.994,1.0,0.65,0.979,0.8,1.0,0.968
118,final_extracted_srs_ieee830\final_extracted_srs_ieee830\70_AutoMorph_Research.txt,True,1.0,0.982,1.0,0.889,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.994,0.997,1.0,1.0,1.0,0.667,1.0,1.0,1.0,1.0,0.667,0.65,0.33,1.0,0.994,1.0,0.45,0.956,0.8,1.0,1.0
119,final_extracted_srs_ieee830\final_extracted_srs_ieee830\71_BalleBaaz.txt,True,1.0,0.994,1.0,0.964,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,0.999,1.0,0.929,1.0,0.786,0.997,1.0,1.0,0.5,0.667,0.7,0.66,0.992,0.999,1.0,0.45,0.975,0.8,1.0,1.0
120,final_extracted_srs_ieee830\final_extracted_srs_ieee830\72_emoBot.txt,True,1.0,0.988,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,0.998,1.0,1.0,1.0,0.8,1.0,0.95,1.0,0.75,0.667,0.7,0.33,0.99,1.0,1.0,0.45,0.973,0.8,1.0,1.0
121,final_extracted_srs_ieee830\final_extracted_srs_ieee830\73_Nimbus360DashGen.txt,True,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,0.968,0.667,0.8,0.997,1.0,1.0,1.0,1.0,0.71,1.0,1.0,1.0,0.25,0.667,0.7,0.72,1.0,0.997,1.0,0.45,0.975,0.8,1.0,1.0
122,final_extracted_srs_ieee830\final_extracted_srs_ieee830\74_CodeCommClassifier_Research.txt,True,1.0,0.965,1.0,0.833,1.0,1.0,1.0,1.0,0.944,0.667,0.8,0.994,0.989,1.0,1.0,1.0,0.778,1.0,1.0,1.0,0.75,0.667,0.7,0.38,1.0,0.994,1.0,0.45,0.968,0.8,1.0,1.0
123,final_extracted_srs_ieee830\final_extracted_srs_ieee830\75_HoshyarInvestAI.txt,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.867,1.0,1.0,1.0,0.5,0.667,0.7,0.65,0.992,1.0,1.0,0.45,0.973,0.8,0.857,1.0
124,final_extracted_srs_ieee830\final_extracted_srs_ieee830\76_VrZombieSurvival.txt,True,1.0,0.994,1.0,0.964,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,1.0,1.0,1.0,0.833,0.714,1.0,1.0,1.0,0.5,0.667,0.8,0.59,1.0,0.998,1.0,0.45,0.974,0.8,0.75,1.0
125,final_extracted_srs_ieee830\final_extracted_srs_ieee830\77_CitySentinel.txt,True,1.0,0.979,0.947,0.947,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.993,0.997,1.0,1.0,1.0,0.763,0.997,1.0,1.0,0.25,0.667,0.8,0.66,0.993,0.993,1.0,0.65,0.976,0.8,1.0,1.0
126,final_extracted_srs_ieee830\final_extracted_srs_ieee830\78_CitySentinel.txt,True,1.0,0.965,0.882,1.0,0.941,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.824,1.0,1.0,1.0,0.75,0.667,0.75,0.72,1.0,1.0,1.0,0.45,0.964,0.8,0.75,1.0
127,final_extracted_srs_ieee830\final_extracted_srs_ieee830\7_ARch360.txt,True,1.0,0.981,0.963,0.963,0.963,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.998,1.0,1.0,1.0,0.778,1.0,1.0,1.0,0.5,0.667,0.7,0.59,0.989,0.998,1.0,0.45,0.971,0.8,1.0,1.0
128,final_extracted_srs_ieee830\final_extracted_srs_ieee830\82_CodeNarrator.txt,True,1.0,0.956,0.909,0.909,1.0,0.97,1.0,1.0,0.97,0.667,0.8,0.991,0.999,1.0,1.0,1.0,0.606,1.0,1.0,1.0,0.25,0.667,0.8,0.59,1.0,0.991,0.988,0.45,0.975,0.8,0.75,1.0
129,final_extracted_srs_ieee830\final_extracted_srs_ieee830\83_TherapEase.txt,True,1.0,0.975,1.0,0.846,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.998,1.0,1.0,1.0,0.769,1.0,1.0,1.0,0.75,0.667,0.8,0.65,1.0,0.998,1.0,0.45,0.964,0.8,1.0,1.0
130,final_extracted_srs_ieee830\final_extracted_srs_ieee830\84_ART2SPRITE.txt,True,1.0,0.988,1.0,0.923,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.982,1.0,1.0,1.0,0.769,1.0,1.0,1.0,0.75,0.667,0.55,0.59,1.0,0.998,1.0,0.45,0.962,0.8,1.0,1.0
131,final_extracted_srs_ieee830\final_extracted_srs_ieee830\85_newsNexus.txt,True,1.0,0.977,0.958,0.917,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.995,0.996,1.0,1.0,1.0,0.708,1.0,1.0,1.0,0.5,0.667,0.7,0.72,1.0,0.995,1.0,0.45,0.971,0.8,0.8,1.0
132,final_extracted_srs_ieee830\final_extracted_srs_ieee830\86_WatchDogAI.txt,True,1.0,0.844,0.556,0.778,0.889,1.0,1.0,1.0,1.0,0.667,0.8,0.988,0.993,0.889,1.0,1.0,0.444,1.0,1.0,1.0,1.0,0.667,0.6,0.59,0.987,0.988,1.0,0.45,0.959,0.8,1.0,1.0
133,final_extracted_srs_ieee830\final_extracted_srs_ieee830\87_RastaSaaz.txt,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.76,1.0,1.0,1.0,0.25,0.667,0.7,0.59,1.0,1.0,0.984,0.45,0.968,0.8,1.0,1.0
134,final_extracted_srs_ieee830\final_extracted_srs_ieee830\89_TalentVerify.txt,True,1.0,0.923,0.926,0.63,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,1.0,1.0,1.0,1.0,0.852,0.994,0.963,1.0,0.5,0.667,0.7,0.65,1.0,0.998,1.0,0.45,0.971,0.8,0.8,1.0
135,final_extracted_srs_ieee830\final_extracted_srs_ieee830\8_Visualytica.txt,True,1.0,0.99,0.958,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.8,1.0,0.998,1.0,1.0,1.0,0.792,1.0,1.0,1.0,0.5,0.667,0.7,0.59,0.988,1.0,1.0,0.45,0.971,0.8,1.0,1.0
136,final_extracted_srs_ieee830\final_extracted_srs_ieee830\90_GrociDish.txt,True,1.0,0.984,0.951,0.976,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.995,0.997,1.0,1.0,1.0,0.854,1.0,1.0,1.0,0.25,0.667,0.8,0.59,0.993,0.995,1.0,0.65,0.977,0.8,1.0,1.0
137,final_extracted_srs_ieee830\final_extracted_srs_ieee830\91_Khiladi.txt,True,1.0,0.956,0.85,0.95,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,1.0,1.0,0.95,1.0,0.9,1.0,1.0,1.0,0.75,0.667,0.8,0.58,1.0,0.997,1.0,0.45,0.971,0.8,1.0,1.0
138,final_extracted_srs_ieee830\final_extracted_srs_ieee830\92_HireUp.txt,True,1.0,0.945,0.853,0.941,0.941,0.971,1.0,1.0,1.0,0.667,0.8,0.997,0.997,1.0,0.971,1.0,0.912,0.998,1.0,1.0,0.25,0.667,0.7,0.46,0.993,0.997,1.0,0.65,0.976,0.8,1.0,1.0
139,final_extracted_srs_ieee830\final_extracted_srs_ieee830\93_MedTrove.txt,True,1.0,0.979,1.0,0.882,0.98,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.999,1.0,1.0,1.0,0.961,0.999,1.0,1.0,0.25,0.667,0.7,0.46,0.989,0.998,1.0,0.65,0.98,0.8,1.0,1.0
140,final_extracted_srs_ieee830\final_extracted_srs_ieee830\94_Voyaige.txt,True,1.0,0.749,0.136,1.0,0.636,1.0,1.0,1.0,1.0,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.909,1.0,1.0,1.0,0.5,0.667,0.7,0.4,1.0,1.0,1.0,0.45,0.97,0.8,1.0,1.0
141,final_extracted_srs_ieee830\final_extracted_srs_ieee830\95_TalkTracks.txt,True,1.0,0.976,0.957,0.913,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.998,0.998,1.0,1.0,1.0,0.913,0.949,1.0,1.0,0.5,0.667,0.7,0.46,0.99,0.998,1.0,0.45,0.969,0.8,1.0,1.0
142,final_extracted_srs_ieee830\final_extracted_srs_ieee830\96_Sketch2Face.txt,True,1.0,0.976,0.957,0.913,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.962,1.0,0.957,1.0,0.783,0.996,1.0,1.0,0.5,0.667,0.8,0.59,1.0,0.997,0.984,0.45,0.968,0.8,1.0,1.0
143,final_extracted_srs_ieee830\final_extracted_srs_ieee830\97_BotForge.txt,True,1.0,0.869,0.68,0.72,0.92,1.0,1.0,1.0,1.0,0.667,0.8,0.978,0.995,0.96,1.0,1.0,0.64,1.0,0.96,1.0,0.5,0.667,0.8,0.46,1.0,0.978,0.986,0.45,0.971,0.8,1.0,1.0
144,final_extracted_srs_ieee830\final_extracted_srs_ieee830\98_Mumtahin.txt,True,1.0,0.691,0.0,0.636,0.909,1.0,1.0,1.0,1.0,0.667,0.8,0.983,0.995,1.0,1.0,1.0,0.727,1.0,1.0,1.0,0.75,0.667,0.5,0.65,0.987,0.983,1.0,0.45,0.963,0.8,1.0,1.0
145,final_extracted_srs_ieee830\final_extracted_srs_ieee830\99_Connexus.txt,True,1.0,0.919,0.792,0.875,0.958,1.0,1.0,1.0,0.958,0.667,0.8,0.986,0.993,1.0,1.0,1.0,0.833,1.0,1.0,1.0,0.5,0.667,0.8,0.65,1.0,0.986,1.0,0.45,0.968,0.8,0.8,1.0
146,final_extracted_srs_ieee830\final_extracted_srs_ieee830\9_EduVantage.txt,True,1.0,0.811,0.25,0.944,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,0.995,1.0,1.0,1.0,0.917,1.0,1.0,1.0,0.25,0.667,0.7,0.65,0.974,0.999,0.98,0.65,0.98,0.8,1.0,1.0
147,final_extracted_srs_ieee830\final_extracted_srs_ieee830\120_PestInsight.txt,True,0.998,0.972,0.919,1.0,1.0,1.0,1.0,1.0,0.946,0.667,0.8,0.998,0.996,1.0,1.0,1.0,0.216,1.0,0.973,1.0,0.25,0.667,0.7,0.65,0.993,0.998,1.0,0.65,0.975,0.8,1.0,1.0
148,final_extracted_srs_ieee830\final_extracted_srs_ieee830\80_SurgiGuide_Research.txt,True,0.998,0.987,1.0,1.0,1.0,1.0,1.0,1.0,0.917,0.667,0.8,0.998,1.0,1.0,1.0,1.0,0.583,1.0,1.0,1.0,0.75,0.667,0.75,0.46,1.0,0.998,0.981,0.45,0.962,0.8,0.5,1.0
149,final_extracted_srs_ieee830\final_extracted_srs_ieee830\125_Amauton.txt,True,0.996,0.969,0.935,0.903,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.99,0.993,0.968,1.0,1.0,0.129,1.0,0.968,1.0,0.5,0.667,0.8,0.59,0.983,0.99,0.956,0.65,0.971,0.8,1.0,1.0
150,final_extracted_srs_ieee830\final_extracted_srs_ieee830\118_PurrfectAssistant.txt,True,0.995,0.976,0.944,0.972,0.944,1.0,1.0,1.0,1.0,0.667,0.8,0.997,1.0,1.0,1.0,1.0,0.222,0.997,1.0,1.0,0.25,0.667,0.7,0.59,0.993,0.997,0.987,0.65,0.974,0.8,1.0,1.0
151,final_extracted_srs_ieee830\final_extracted_srs_ieee830\33_EDIConnect.txt,True,0.995,0.909,0.714,0.857,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.994,0.996,1.0,1.0,1.0,0.429,1.0,0.857,1.0,0.75,0.667,0.7,0.46,0.983,0.994,1.0,0.45,0.962,0.8,1.0,1.0
152,final_extracted_srs_ieee830\final_extracted_srs_ieee830\123_Decentrum.txt,True,0.993,0.978,0.962,0.923,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.999,0.999,1.0,1.0,1.0,0.192,1.0,1.0,1.0,0.5,0.667,0.7,0.72,1.0,0.999,1.0,0.45,0.969,0.8,0.833,1.0
153,final_extracted_srs_ieee830\final_extracted_srs_ieee830\137_AtlasPredict.txt,True,0.993,0.986,1.0,0.913,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.997,0.999,1.0,0.957,1.0,0.13,1.0,1.0,1.0,0.75,0.667,0.7,0.72,0.959,0.997,1.0,0.65,0.967,0.8,0.667,1.0
154,final_extracted_srs_ieee830\final_extracted_srs_ieee830\23_KubeSecure.txt,True,0.993,0.958,0.931,0.897,0.966,1.0,1.0,1.0,0.966,0.667,0.8,0.994,0.999,1.0,1.0,1.0,0.759,1.0,1.0,1.0,0.5,0.667,0.7,0.39,0.99,0.994,1.0,0.45,0.973,0.8,0.5,1.0
155,final_extracted_srs_ieee830\final_extracted_srs_ieee830\81_Paralegal(Case Management System).txt,True,0.993,0.987,0.976,0.952,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.996,0.998,1.0,1.0,1.0,0.667,1.0,0.976,1.0,0.25,0.667,0.7,0.47,1.0,0.996,1.0,0.65,0.976,0.8,0.429,1.0
156,final_extracted_srs_ieee830\final_extracted_srs_ieee830\124_BTCConversa.txt,True,0.992,0.915,0.733,0.867,1.0,1.0,1.0,1.0,1.0,0.667,0.8,0.986,0.996,1.0,1.0,1.0,0.267,1.0,1.0,1.0,0.75,0.667,0.6,0.79,0.988,0.986,1.0,0.45,0.96,0.8,0.714,1.0
